document,site_no,site_name,street_address,city_state_zip,county,enforcement_action,enforcement_action_number,enforcement_action_issued,case_closed,media,program
,4013,Cambridge WWTP,1010 Roslyn Ave,"Cambridge,MD,21613",Dorchester,Administrative Order,CO-12-1462,09/09/2011,06/30/2014,Surface Water Discharge Permit,
,4013,Cambridge WWTP,1010 Roslyn Ave,"Cambridge,MD,21613",Dorchester,Offer to Settle,,03/09/2020,08/31/2020,Surface Water Discharge Permit;Surface Water Discharge Unauthorized,Collection System (SSO)
,4013,Cambridge WWTP,1010 Roslyn Ave,"Cambridge,MD,21613",Dorchester,Offer to Settle,,03/09/2020,08/31/2020,Surface Water Discharge Permit;Surface Water Discharge Unauthorized,Municipal Minor
,4013,Cambridge WWTP,1010 Roslyn Ave,"Cambridge,MD,21613",Dorchester,Penalty Settlement,Patrick Noyes,03/23/2018,05/15/2018,Surface Water Discharge Permit;Surface Water Discharge Unauthorized,Collection System (SSO)
,4023,Annapolis Water Reclamation Facility,7228 Edgewood Road,"Annapolis,MD,21401",Anne Arundel,Consent Order,CO-12-1584,02/12/2012,11/22/2017,Surface Water Discharge Permit,Municipal Major
,4162,J Lawrence Nicholson Landfill,23750 Larney Nick Rd,"Chestertown,MD,21620",Kent,Consent Order,CO-16-2407,06/20/2016,,Surface Water Discharge Permit,Municipal Minor
,5034,WSSC Western Branch WRRF,6600 Crain Hwy,"Upper Marlboro,MD,20772",Prince George's,Penalty Settlement,C-14-2077,04/08/2014,05/01/2014,Notice of Intent;Sediment,Notice of Intent (Construction)
,5314,WSSC Potomac WFP Water Filtration Plant,12200 River Rd,"Potomac,MD,20854",Montgomery,,,11/03/2019,12/09/2019,Not Assigned,
,7992,Salisbury WWTP/Outwall Diffuser Utility Repair,1142 Marine Road,"Salisbury,MD,21801",Wicomico,Administrative Order,PS-17-2462,04/20/2017,06/21/2017,Surface Water Discharge Unauthorized,Collection System (SSO)
,8449,Back River WWTP,8201 Eastern Ave,"Baltimore,MD,21224",Baltimore,Settlement Agreement and Consent Order,CO-22-2817,06/10/2022,,Surface Water Discharge Permit,Municipal Major
,9561,"Bob's Auto Collision, Inc.",4105 Annapolis Road,"Halethorpe,MD,21227",Baltimore,Penalty Settlement,Arno Laud,07/17/2018,08/15/2018,Surface Water Discharge Unauthorized,Industrial Minor
,11313,Hampstead WWTP,4455 Northwoods Trail,"Hampstead,MD,21074",Carroll,Consent Decree,Jess Herpel,08/06/2006,,Surface Water Discharge Permit,
,17910,Liberty Square Shopping Center,8700 Liberty Road,"Randallstown,MD,21133",Baltimore,Penalty Settlement,PS-13-1736,08/13/2012,10/09/2012,Notice of Intent,Notice of Intent (Construction)
,18426,Mystic Harbour WWTP,9423 Stephen Decatur Hwy.,"Berlin,MD,21811",Worcester,Consent Order,COP-13-1825,01/07/2013,11/27/2018,Groundwater Discharge Permit,Municipal Minor
,18826,Pocomoke City WWTP,1634 Dunn Swamp Road,"Pocomoke City,MD,21851",Worcester,Penalty Settlement,PS-15-2164,10/09/2014,10/21/2014,Surface Water Discharge Unauthorized,Collection System (SSO)
,2468,"Brian Baker, Inc",2001 Conowingo Rd,"Bel Air,MD,21014",Harford,Settlement Agreement,SA-20-2624,12/17/2019,12/17/2019,Non-Tidal Wetlands;Surface Water Discharge Permit,Industrial Stormwater
,2756,Delmarva Lumber LLC.,7504 Main Street,"Willards,MD,21874",Wicomico,Consent Order,COP-13-1946,06/11/2013,09/13/2016,Surface Water Discharge Permit;Surface Water Discharge Unauthorized,Industrial Stormwater
,3076,Patapsco WWTP,3501 Asiatic Ave,"Curtis Bay,MD,21226",Baltimore City,"Complaint, Order, Penalty",COP-16-2405,06/08/2016,03/15/2022,Surface Water Discharge Permit,Municipal Major
,3076,Patapsco WWTP,3501 Asiatic Ave,"Curtis Bay,MD,21226",Baltimore City,Stipulated Penalty,SP-22-2760,01/07/2022,03/07/2022,Surface Water Discharge Permit,Municipal Major
,3076,Patapsco WWTP,3501 Asiatic Ave,"Curtis Bay,MD,21226",Baltimore City,Stipulated Penalty,SP-22-2779,02/15/2022,03/15/2022,Surface Water Discharge Permit,Municipal Major
,3640,Culpeper of Fruitland LLC,28114 Old Eden Road,"Eden,MD,21826",Wicomico,Administrative Order,CO-17-2415,07/28/2016,04/01/2019,Groundwater Discharge Permit;Non-Tidal Wetlands;Sediment,Industrial Minor
,3944,National Security Agency,9800 Savage Road,"Fort George G. Meade,MD,20755-6000",Anne Arundel,Penalty Settlement,C-15-2220,02/19/2015,03/06/2015,Sediment,
,4107,"Clean Harbors Laurel ,LLC",3527 Whiskey Bottom Road,"Laurel,MD,20724-1403",Anne Arundel,Penalty Settlement,Arno Laud,12/29/2015,01/20/2016,Surface Water Discharge Unauthorized,Industrial Stormwater
,4116,C P Crane Generating Station,1001 Carroll Island Rd,"Middle River,MD,21220",Baltimore,Penalty Settlement,PS-16-2306,08/26/2015,09/23/2015,Surface Water Discharge Unauthorized,Industrial Major
,5030,WSSC Parkway WRRF,10100 Canadian Way,"Laurel,MD,20708",Prince George's,Penalty Settlement,PS-13-1884,03/13/2013,04/17/2013,Notice of Intent;Sediment,Notice of Intent (Construction)
,5034,WSSC Western Branch WRRF,6600 Crain Hwy,"Upper Marlboro,MD,20772",Prince George's,Penalty Settlement,Patrick Noyes,05/22/2019,06/20/2019,Surface Water Discharge Unauthorized,Municipal Major
https://mdedataviewer.mde.state.md.us/OpenDataDocuments?ID=1860825,5314,WSSC Potomac WFP Water Filtration Plant,12200 River Rd,"Potomac,MD,20854",Montgomery,Stipulated Penalty,SP-23-2851,11/28/2022,,Surface Water Discharge Permit,Municipal Minor
,8449,Back River WWTP,8201 Eastern Ave,"Baltimore,MD,21224",Baltimore,"Complaint, Order, Penalty",COP-16-2405,06/08/2016,03/24/2022,Surface Water Discharge Permit,Municipal Major
,8455,Queenstown WWTP,120 Skipjack Cove Lane,"Queenstown,MD,21658",Queen Anne's,Penalty Settlement,Patrick Noyes,07/17/2019,07/29/2019,Surface Water Discharge Permit,Municipal Minor
,9165,"Joseph Smith & Sons, Inc",2001 Kenilworth Ave,"Capitol Heights,MD,20743",Prince George's,Penalty Settlement,Linda Eisgruber,12/19/2013,01/16/2014,Surface Water Discharge Unauthorized,Industrial Stormwater
,9359,"Imerys Carbonates USA, Inc.",10000 B Beaver Dam Rd,"Cockeysville,MD,21030",Baltimore,Penalty Settlement,PS-13-1885,05/15/2013,06/15/2013,Surface Water Discharge Unauthorized,
,10585,Calvert County Board Of Commissioners,401 Sweetwater Rd,"Lusby,MD,20657",Calvert,Settlement Agreement,SAP-14-2086,05/01/2014,05/28/2014,Surface Water Discharge Permit,Industrial Stormwater
,10856,"Toyota Motor Sales, USA, Inc",6710 Baymeadow Dr,"Glen Burnie,MD,21060",Anne Arundel,Penalty Settlement,PS 20-2606,08/26/2019,09/26/2019,Surface Water Discharge Unauthorized,
,11104,Davidsonville Transmitter Site,3290 Bottner Road,"Gambrills,MD,21054",Anne Arundel,Penalty Settlement,C-13-1845,03/08/2013,04/08/2013,Sediment,
,18549,City of Bowie WWTP,16550 Annapolis Rd,"Bowie,MD,20715",Prince George's,,,,09/14/2014,Not Assigned,
,18549,City of Bowie WWTP,16550 Annapolis Rd,"Bowie,MD,20715",Prince George's,Settlement Agreement,SAP-13-1742,08/17/2012,09/14/2014,Notice of Intent;Sediment,Notice of Intent (Construction)
,19080,Winters Apartments WWTP,Rte 5 at Winters Lane,"Leonardtown,MD,20650",St. Mary's,"Complaint, Order, Penalty",Jess Herpel,12/20/2016,,Surface Water Discharge Permit,Municipal Minor
,19664,Thurmont WWTP,96  E Moser Rd,"Thurmont,MD,21788",Frederick,Consent Order,,05/21/2012,08/04/2015,Surface Water Discharge Permit,
,19786,Colonel Richardson High School,25320 Richardson Rd,"Federalsburg,MD,21632",Caroline,Settlement Agreement,Eisgruber,09/30/2014,10/21/2014,Surface Water Discharge Permit,
,88,Piney Point - Sunoco LLC,17877 Piney Point Rd,"Piney Point,MD,20674",St. Mary's,Settlement Agreement,SA-14-2007,10/11/2013,09/05/2014,Surface Water Discharge Permit,Industrial Minor
,167,GAF,1500 S Ponca St,"Highlandtown,MD,21224",Baltimore City,Penalty Settlement,"Bull, Kevin",03/04/2015,03/20/2015,Surface Water Discharge Unauthorized,Industrial Minor
,1768,Andrews Air Force Base,"3466 North Carolina Ave, 316 CES/CEV","Andrews Airforce Base,MD,20762",Prince George's,Penalty Settlement,C-14-2004,10/02/2013,11/12/2013,Sediment,
,1852,Altium Packaging,7100 E Baltimore Street,"Baltimore,MD,21224",Baltimore,Penalty Settlement,Jess Herpel,09/08/2020,09/08/2020,Stormwater Management,Industrial Stormwater
,1872,Westminster City Of,City Hall,"Westminster,MD,21157",Carroll,Penalty Settlement,,01/13/2013,02/15/2013,Surface Water Discharge Unauthorized,Collection System (SSO)
,1974,Elkton WWTP,200 W Pulaski Hwy,"Elkton,MD,21921",Cecil,Penalty Settlement,PS-15-2178,11/14/2014,01/16/2015,Surface Water Discharge Unauthorized,Collection System (SSO)
,2193,Northrop Grumman Systems Corporation-Elkton,55 Thiokol Road,"Elkton,MD,21921",Cecil,Penalty Settlement,PS-15-2169,10/30/2014,12/04/2014,Surface Water Discharge Unauthorized,Collection System (SSO)
,2824,Prince Specialty Products LLC,610 Pittman Rd,"Curtis Bay,MD,21226",Anne Arundel,Consent Order,COP-16-2410,06/29/2016,02/09/2017,Surface Water Discharge Permit,Industrial Major
,3076,Patapsco WWTP,3501 Asiatic Ave,"Curtis Bay,MD,21226",Baltimore City,Required Confirmation,Lenn Roberts,06/08/2016,03/15/2022,Surface Water Discharge Permit,Municipal Major
,4162,J Lawrence Nicholson Landfill,23750 Larney Nick Rd,"Chestertown,MD,21620",Kent,Consent Order,CO-15-2277,06/24/2015,06/27/2016,Surface Water Discharge Permit,Industrial Minor
,4162,J Lawrence Nicholson Landfill,23750 Larney Nick Rd,"Chestertown,MD,21620",Kent,Required Confirmation,Lenn Roberts,10/08/2020,11/30/2020,Groundwater Discharge Permit,Municipal Minor
,5034,WSSC Western Branch WRRF,6600 Crain Hwy,"Upper Marlboro,MD,20772",Prince George's,Penalty Settlement,PS-13-1833,01/10/2013,02/15/2013,Notice of Intent;Sediment,Notice of Intent (Construction)
https://mdedataviewer.mde.state.md.us/OpenDataDocuments?ID=1860825,5314,WSSC Potomac WFP Water Filtration Plant,12200 River Rd,"Potomac,MD,20854",Montgomery,Stipulated Penalty,CJ-16-2399,05/11/2021,,Surface Water Discharge Permit,Municipal Minor
,7992,Salisbury WWTP/Outwall Diffuser Utility Repair,1142 Marine Road,"Salisbury,MD,21801",Wicomico,Consent Decree,Patrick Noyes,09/05/2013,12/06/2013,Surface Water Discharge Permit,Municipal Major
,8453,Ballenger-McKinney WWTP,7400 Marcie's Choice Lane,"Frederick,MD,21704",Frederick,Consent Order,CO-12-1543,12/19/2011,01/04/2018,Surface Water Discharge Permit,Municipal Major
,9283,"Sims ARG, Inc. - Millington Ave.",909 Millington Ave,"Franklin,MD,21223",Baltimore City,Settlement Agreement,Arno Laud,07/01/2019,07/17/2019,Surface Water Discharge Permit,Industrial Minor
,9791,Maryland State Police Aviation - Washington,"East Perimeter Rd, Bldg 2487","Andrews Airforce Base,MD,20762",Prince George's,Penalty Settlement,C-13-1841,01/18/2013,03/18/2013,Sediment,
,10400,Patuxent Water Reclamation Facility,1640 Professional blvd,"Crofton,MD,21114",Anne Arundel,Consent Order,CO-12-1581,02/03/2012,11/22/2017,Surface Water Discharge Permit,Municipal Major
,11313,Hampstead WWTP,4455 Northwoods Trail,"Hampstead,MD,21074",Carroll,Stipulated Penalty,SP-21-2671,10/01/2020,,Surface Water Discharge Permit,
,18734,Ocean City WWTP,6405 Seabay Drive,"Ocean City,MD,21842",Worcester,Penalty Settlement,Patrick Noyes,04/13/2017,05/12/2017,Surface Water Discharge Unauthorized,Collection System (SSO)
,19497,Crisfield WWTP,104 7th Street,"Crisfield,MD,21817",Somerset,Penalty Settlement,Patrick Noyes,03/01/2016,03/23/2016,Surface Water Discharge Unauthorized,Collection System (SSO)
,19497,Crisfield WWTP,104 7th Street,"Crisfield,MD,21817",Somerset,Penalty Settlement,Patrick Noyes,09/23/2019,10/11/2019,Surface Water Discharge Unauthorized,Collection System (SSO)
,19730,Glenelg Country School,12793 Folly Quarter Rd,"Ellicott City,MD,21042",Howard,Complaint & Order,AOP-18-2530,05/14/2018,06/04/2018,Groundwater Discharge Permit,Municipal Minor
,19730,Glenelg Country School,12793 Folly Quarter Rd,"Ellicott City,MD,21042",Howard,Stipulated Penalty,Arno Laud,08/20/2018,11/28/2018,Groundwater Discharge Permit,
,34,Smithsonian Paul E Garber Facility,3904 Old Silver Hill Road,"Suitland,MD,20746-3190",Prince George's,,,,,Not Assigned,
,120,Tradepoint Atlantic,1600 Sparrows Point Blvd,"Baltimore,MD,21219",Baltimore,Consent Order,SAP-15-2242,04/09/2015,07/11/2017,Surface Water Discharge Permit,Industrial Major
,503,Father Martin's Ashley,800 Tydings Lane,"Havre De Grace,MD,21078",Harford,Settlement Agreement and Consent Order,CO-19-2580,03/01/2019,05/20/2022,Groundwater Discharge Permit,Municipal Minor
,1152,University of Maryland Prince George's Hospital Center,3001 Hospital Dr,"Cheverly,MD,20785",Prince George's,Settlement Agreement,SA-13-1748,09/06/2012,09/26/2012,Sediment;Surface Water Discharge Unauthorized,
,1839,Project - Fort George G. Meade,2212 Chisholm Avenue,"Fort George G. Meade,MD,20755-5115",Anne Arundel,Settlement Agreement,SA-14-2012,10/17/2013,11/26/2013,Notice of Intent;Sediment,Notice of Intent (Construction)
,1873,V Luke LLC,300 Pratt Street,"Luke,MD,21540-1099",Allegany,Settlement Agreement,Patrick Noyes,04/27/2016,05/25/2016,Pretreatment,Industrial Major
,1919,GenOn Chalk Point LLC Generating Station,25100 Chalk Point Road,"Aquasco,MD,20608",Prince George's,Consent Decree,Lenn Roberts,08/26/2016,,Surface Water Discharge Permit,Industrial Major
,2184,Congoleum Corporation,2700 Emory Road,"Finksburg,MD,21048",Carroll,Penalty Settlement,PS-13-1948,06/10/2013,08/12/2013,Surface Water Discharge Permit,
,2345,AMG Resources Corporation,2415 Grays Road,"Dundalk,MD,21222",Baltimore,Penalty Settlement,,,09/23/2016,Not Applicable,Industrial Stormwater
,2824,Prince Specialty Products LLC,610 Pittman Rd,"Curtis Bay,MD,21226",Anne Arundel,Consent Order,CA-14-1986,09/03/2013,09/12/2016,Surface Water Discharge Permit,Industrial Major
,2975,"ABF Freight System, Inc.",6720 Washington Blvd,"Elkridge,MD,21075",Howard,,,,,Stormwater Management,Industrial Stormwater
,3076,Patapsco WWTP,3501 Asiatic Ave,"Curtis Bay,MD,21226",Baltimore City,Compliance Order,SP-19-2545,07/31/2018,10/01/2018,Surface Water Discharge Permit,Municipal Major
,3412,World Recycling Company,5600 Columbia Park Road,"Cheverly,MD,20785",Prince George's,"Complaint, Order, Penalty",JOP-23-2875,01/10/2023,,Surface Water Discharge Unauthorized,Industrial Stormwater
,4017,Broadwater Water Reclamation Facility,1161 Deep Cove Road,"Churchton,MD,20733",Anne Arundel,Consent Order,CO-12-1583,02/03/2012,11/22/2017,Surface Water Discharge Permit,Municipal Major
,4116,C P Crane Generating Station,1001 Carroll Island Rd,"Middle River,MD,21220",Baltimore,Penalty Settlement,PS-13-1959,08/22/2013,10/02/2013,Surface Water Discharge Permit,Industrial Major
,5034,WSSC Western Branch WRRF,6600 Crain Hwy,"Upper Marlboro,MD,20772",Prince George's,Consent Order,CO-14-2048,12/23/2013,01/18/2017,Surface Water Discharge Permit,Municipal Major
,5287,"Dominion Energy Cove Point LNG, LP",2100 Cove Point Road,"Lusby,MD,20657",Calvert,Penalty Settlement,PS-14-1976,08/15/2013,09/05/2013,Surface Water Discharge Permit,Industrial Minor
,7692,"Fairwinds Marina, LLC",1000 Fairwinds Dr,"Annapolis,MD,21409",Anne Arundel,Penalty Settlement,PS-15-2212,02/05/2015,03/03/2015,Tidal Wetlands,
,7992,Salisbury WWTP/Outwall Diffuser Utility Repair,1142 Marine Road,"Salisbury,MD,21801",Wicomico,Stipulated Penalty,Patrick Noyes,09/05/2013,07/18/2017,Surface Water Discharge Permit,Municipal Major
,8138,Sisson St Yard # 10 City Of Baltimore,2840 Sisson St,"Baltimore,MD,21211",Baltimore City,Penalty Settlement,PS-13-1923,05/21/2013,06/14/2013,Surface Water Discharge Unauthorized,
,8596,CITY OF CUMBERLAND,56 N Liberty St,"Cumberland,MD,21501-1702",Allegany,Penalty Settlement,C-16-2347,12/04/2015,12/23/2015,Sediment,
,9467,Charles County Municipal Landfill No. 2,12305 Billingsley Road,"Waldorf,MD,20602",Charles,Penalty Settlement,PS-15-2258,05/11/2015,07/06/2015,Notice of Intent,Notice of Intent (Construction)
,9695,Laurel Ready Mix Concrete,5501 Van Dusen Rd,"Laurel,MD,20707",Prince George's,Settlement Agreement,Patrick Noyes,12/14/2018,12/26/2018,Surface Water Discharge Permit,Industrial Minor
,10856,"Toyota Motor Sales, USA, Inc",6710 Baymeadow Dr,"Glen Burnie,MD,21060",Anne Arundel,Penalty Settlement,Julie Gowe,08/26/2019,09/26/2019,Surface Water Discharge Unauthorized,
https://mdedataviewer.mde.state.md.us/OpenDataDocuments?ID=2389247,11313,Hampstead WWTP,4455 Northwoods Trail,"Hampstead,MD,21074",Carroll,Required Confirmation,Lenn Roberts,04/16/2019,01/18/2023,Surface Water Discharge Permit,Municipal Minor
,18826,Pocomoke City WWTP,1634 Dunn Swamp Road,"Pocomoke City,MD,21851",Worcester,Settlement Agreement,Jami Everton,09/19/2018,01/22/2021,Non-Tidal Wetlands;Sediment;Surface Water Discharge Permit,
,19206,Daniel G. Schuster Concrete/Hagerstown Ready Mix Concrete Plant,1000 Sherman Avenue,"Hagerstown,MD,21740",Washington,Settlement Agreement,Patrick Noyes,12/14/2018,12/26/2018,Surface Water Discharge Permit,Industrial Minor
,19873,Pleasure Cove Marina,1701 Poplar Ridge Rd,"Pasadena,MD,21122",Anne Arundel,Settlement Agreement,SA-15-2197,12/18/2014,01/14/2015,Surface Water Discharge Permit;Tidal Wetlands,Industrial Stormwater
,20603,APG-Edgewood Area,Edgewood Area-Aberdeen Proving Ground,"Aberdeen Proving Ground,MD,21010",Harford,Offer to Settle,,,,Surface Water Discharge Permit,Municipal Minor
,21037,Ceco Utilities WWTP,91 Johnstown Road,"Elkton,MD,21921",Cecil,Amended Complaint & Penalty,CO-14-1983,12/07/2012,05/02/2013,Surface Water Discharge Permit,Municipal Minor
,21825,Brunswick WWTP,"20 C&O Canal Tow Path Rd, E","Brunswick,MD,21716",Frederick,Required Confirmation,Lenn Roberts,10/21/2020,11/03/2020,Surface Water Discharge Unauthorized;Surface Water Discharge Unauthorized,Collection System (SSO)
,21839,New Windsor WWTP,Water St,"New Windsor,MD,21776",Carroll,Penalty Settlement,"Bull, Kevin",07/31/2015,08/27/2015,Surface Water Discharge Unauthorized,Collection System (SSO)
,21866,Clear Spring WWTP,13081 Burnie Kinsell Dr,"Clear Spring,MD,21722",Washington,Required Confirmation,Lenn Roberts,11/13/2020,11/13/2020,Surface Water Discharge Unauthorized,Collection System (SSO)
,21898,Talbot Trailer Park,9538 Black Dog Alley,"Easton,MD,21601",Talbot,"Complaint, Order, Penalty",Eisgruber,10/24/2012,12/12/2012,Groundwater Discharge Permit;Groundwater Discharge Unauthorized,Municipal Minor
,22084,Green Opportunities Corporation,227 Oldtown Road,"Goldsboro,MD,21636",Caroline,Consent Decree,Jami Everton,08/26/2014,,Non-Tidal Wetlands;Notice of Intent;Sediment;Waterway Construction,
,22084,Green Opportunities Corporation,227 Oldtown Road,"Goldsboro,MD,21636",Caroline,Temporary Restraining Order,CD-15-2143,09/20/2013,08/25/2014,Notice of Intent;Sediment;Surface Water Discharge Unauthorized,
,22169,Town of Galena WWTP,13265 Augustine Herman Hwy,"Galena,MD,21635",Kent,Amended Consent Order,ACO-15-2142,09/17/2014,09/14/2016,Surface Water Discharge Permit,Municipal Minor
,22919,Sudlersville WWTP,"416 S Church St, at inetrsection of Goldsboro Rd & Elevator Rd","Sudlersville,MD,21668",Queen Anne's,Penalty Settlement,PS-15-2134,09/09/2014,09/24/2014,Surface Water Discharge Unauthorized,Collection System (SSO)
,22962,Lisbon Shopping Plaza,700-712 Lisbon Center Dr,"Woodbine,MD,21797",Howard,Consent Order,COP-15-2254,05/14/2015,09/01/2020,Groundwater Discharge Permit,Municipal Minor
,22972,Calvert Gateway WWTP and WTP,"10760 Town Center Blvd, Rte 4 & Town Center","Dunkirk,MD,20754",Calvert,Consent Order,CO-15-2228,03/13/2015,08/16/2016,Groundwater Discharge Permit,
,22972,Calvert Gateway WWTP and WTP,"10760 Town Center Blvd, Rte 4 & Town Center","Dunkirk,MD,20754",Calvert,Stipulated Penalty,SP-22-2782,04/04/2022,09/22/2022,Groundwater Discharge Permit,Municipal Minor
,23434,Smithsburg WWTP,22523 Leitersburg - Smithburg Rd,"Smithsburg,MD,21783",Washington,Settlement Agreement,Eisgruber,07/06/2015,07/23/2015,Surface Water Discharge Permit,Municipal Minor
,23447,WA DES- C William Winebrenner WWTP,25040 Pen Mar Rd,"Cascade,MD,21719",Washington,Consent Order,CA-12-1522,12/28/2011,08/24/2017,Surface Water Discharge Permit,
,23479,Grantsville WWTP,10300 Block of National Pike,"Grantsville,MD,21536",Garrett,Settlement Agreement and Consent Order,CO-20-2621,11/21/2019,,Surface Water Discharge Permit,Municipal Minor
,23545,Mirant - Westland Flyash Site,20831 Martinsburg Rd,"Dickerson,MD,20842",Montgomery,Penalty Settlement,Patrick Noyes,10/31/2017,11/09/2017,Surface Water Discharge Unauthorized,Industrial Minor
,23576,"Harwood Landfill, Inc.",4431 Sands Rd,"Harwood,MD,20776",Anne Arundel,Information Request,CO-13-1892,12/22/2022,,Surface Water Discharge Permit,Industrial Minor
,23637,Bel Alton WWTP,9225 Twinberry Drive,"Bel Alton,MD,20611",Charles,Amended Consent Order,ACO-06-0268,09/25/2014,09/25/2014,Surface Water Discharge Permit,Municipal Minor
,23638,Berlin WWTP,9210 Bottle Branch Rd,"Berlin,MD,21811",Worcester,Penalty Settlement,Patrick Noyes,06/16/2016,06/23/2016,Surface Water Discharge Unauthorized,Collection System (SSO)
,19976,"Strongs Bay Seafood, Inc",1719-A Little Creek Rd,"Chester,MD,21619",Queen Anne's,Penalty Settlement,PS-13-1790,11/20/2012,09/11/2014,Surface Water Discharge Permit;Surface Water Discharge Unauthorized,
,20024,Perryville WWTP,72 Ikea Way,"Perryville,MD,21903",Cecil,Penalty Settlement,PS-14-2023,11/06/2013,03/11/2014,Surface Water Discharge Permit,Municipal Major
,20304,"Rockville Fuel and Feed Co., Inc.",14901 Southlawn Lane,"Rockville,MD,20850",Montgomery,Penalty Settlement,"Bull, Kevin",03/07/2016,03/17/2016,Surface Water Discharge Permit,Industrial Minor
,20603,APG-Edgewood Area,Edgewood Area-Aberdeen Proving Ground,"Aberdeen Proving Ground,MD,21010",Harford,Required Confirmation,,,02/10/2022,Surface Water Discharge Permit,Municipal Minor
,20744,Hanover Foods Corp,502 Factory Ave,"Ridgely,MD,21660",Caroline,Penalty Settlement,Eisgruber,09/12/2011,09/26/2011,Stormwater Management,
,20765,Oakland WWTP,27 Oakland Rosedale Rd,"Oakland,MD,21550",Garrett,Penalty Settlement,PS-15-2168,10/24/2014,10/24/2014,Surface Water Discharge Unauthorized,Collection System (SSO)
,20834,Freedom District WWTP,1301 Raincliff Rd.,"Sykesville,MD,21784",Carroll,Consent Order,CO-12-1512,11/09/2011,12/18/2019,Surface Water Discharge Permit,
,21119,Frederick City WWTP,100 Treatment Plant Road,"Frederick,MD,21701",Frederick,Stipulated Penalty,SP-19-2540,07/11/2018,08/10/2018,Surface Water Discharge Permit,Municipal Major
,21831,Boone's Mobile Estates WWTP,1091 Marlboro Rd,"Lothian,MD,20711",Anne Arundel,Settlement Agreement,Eisgruber,11/15/2010,05/29/2012,Surface Water Discharge Permit,Municipal Minor
,21857,Homestead Mobile Estates WWTP,27 Benjamin Park Dr,"Port Deposit,MD,21904",Cecil,Penalty Settlement,PS-15-2191,12/04/2014,12/11/2014,Surface Water Discharge Unauthorized,Collection System (SSO)
,21858,Highland View Academy WWTP,10335 Academy Drive,"Hagerstown,MD,21740",Washington,Consent Order,COP-15-2185,12/10/2014,09/17/2015,Groundwater Discharge Permit,Municipal Minor
,21865,Thunderbird Motel WWTP,11050 Crain Hwy,"Newburg,MD,20664",Charles,Consent Order,CO-14-2022,11/05/2013,03/09/2018,Surface Water Discharge Permit,Municipal Minor
,22169,Town of Galena WWTP,13265 Augustine Herman Hwy,"Galena,MD,21635",Kent,Stipulated Penalty,Patrick Noyes,03/19/2019,06/06/2019,Surface Water Discharge Permit,Municipal Minor
,22171,Chestertown WWTP,25792 John Hanson Rd,"Chestertown,MD,21620",Kent,Penalty Settlement,"Bull, Kevin",07/22/2015,10/15/2015,Surface Water Discharge Unauthorized,Collection System (SSO)
,22190,A & X Steel and Aluminum Co.,2825 Annapolis Rd,"Baltimore,MD,21230",Baltimore City,"Complaint, Order, Penalty",,03/19/2013,11/21/2013,Surface Water Discharge Unauthorized,
,22310,Clearview Golf & Country Club,5650 Country Club Rd,"Cambridge,MD,21613",Dorchester,Complaint & Order,,06/18/2010,09/26/2010,Surface Water Discharge Unauthorized,
,22913,Castaways RV Resort and Campground,12550 Eagles Nest Rd,"Berlin,MD,21811",Worcester,Settlement Agreement,Eisgruber,01/08/2013,05/27/2014,Groundwater Discharge Permit;Groundwater Discharge Unauthorized,Municipal Minor
